Name,Rating,Reviews,Salaries,jobs,Industry&Location
TCS,3.7,91.7k,8.8L,90,IT Services & Consulting | Bangalore / Bengaluru +393 other locations
Accenture,3.8,57.8k,5.9L,16.9k,IT Services & Consulting | Bangalore / Bengaluru +212 other locations
Wipro,3.7,54.2k,4.5L,3.1k,IT Services & Consulting | Bangalore / Bengaluru +343 other locations
Cognizant,3.7,51.3k,5.7L,256,IT Services & Consulting | Chennai +199 other locations
Capgemini,3.7,42.7k,4.3L,1.9k,IT Services & Consulting | Bangalore / Bengaluru +169 other locations
HDFC Bank,3.9,40.4k,1.4L,525,Banking | Mumbai +1667 other locations
Infosys,3.6,40.3k,4.7L,2.3k,IT Services & Consulting | Bangalore / Bengaluru +218 other locations
ICICI Bank,4.0,38.8k,1.5L,1,Banking | Mumbai +1357 other locations
HCLTech,3.5,37k,3.3L,168,IT Services & Consulting | Chennai +209 other locations
Tech Mahindra,3.5,35.9k,2.7L,593,IT Services & Consulting | Hyderabad / Secunderabad +296 other locations
Genpact,3.8,32.2k,2.1L,505,IT Services & Consulting | Hyderabad / Secunderabad +145 other locations
Teleperformance,3.9,30.3k,90.8k,409,BPO | Mumbai +217 other locations
Concentrix Corporation,3.8,26.9k,1.2L,86,BPO | Bangalore / Bengaluru +150 other locations
Axis Bank,3.8,26k,99.6k,159,Banking | Mumbai +1391 other locations
Amazon,4.1,25.6k,1.3L,2.8k,Internet | Bangalore / Bengaluru +468 other locations
Jio,4.0,23.6k,63.1k,138,Telecom | Mumbai +1320 other locations
iEnergizer,4.6,22.9k,22.7k,217,BPO | Noida +42 other locations
Reliance Retail,3.9,22.8k,65.8k,92,Retail | Mumbai +1065 other locations
IBM,4.0,22.8k,2L,1.4k,IT Services & Consulting | Bangalore / Bengaluru +245 other locations
LTIMindtree,3.8,21.5k,1.7L,265,IT Services & Consulting | Bangalore / Bengaluru +129 other locations
HDB Financial Services,3.9,20.7k,49.7k,159,NBFC | Mumbai +1007 other locations
Larsen & Toubro Limited,4.0,19k,69.3k,118,Engineering & Construction | Chennai +682 other locations
Deloitte,3.8,18.1k,1.9L,112,Management Consulting | Hyderabad / Secunderabad +163 other locations
Kotak Mahindra Bank,3.7,17.3k,82.2k,58,Banking | Mumbai +627 other locations
Reliance Industries,4.0,16.4k,68.1k,30,Oil & Gas | Jamnagar +743 other locations
BYJU'S,3.1,16.2k,58.6k,--,EdTech | Bangalore / Bengaluru +315 other locations
Vodafone Idea,4.0,15.6k,53.8k,24,Telecom | Pune +674 other locations
Bharti Airtel,4.0,14k,46.6k,167,Telecom | Gurgaon / Gurugram +720 other locations
WNS,3.4,12.2k,63.1k,291,BPO | Pune +52 other locations
Tata Motors,4.2,12.1k,41.2k,9,Automobile | Pune +474 other locations
AU Small Finance Bank,4.2,11.8k,25.7k,80,Banking | Jaipur +707 other locations
IndusInd Bank,3.5,11.2k,49.5k,157,Banking | Mumbai +738 other locations
Ernst & Young,3.4,11k,1.2L,2.2k,Management Consulting | Bangalore / Bengaluru +115 other locations
Flipkart,3.9,11k,49k,96,Internet | Bangalore / Bengaluru +526 other locations
IDFC FIRST Bank,3.9,10.5k,44.8k,63,Banking | Mumbai +630 other locations
DXC Technology,3.7,10.2k,74.4k,188,IT Services & Consulting | Bangalore / Bengaluru +105 other locations
Infosys BPM,3.6,10k,66.6k,40,BPO | Bangalore / Bengaluru +83 other locations
Mahindra & Mahindra,4.1,10k,37.4k,46,Automobile | Pune +517 other locations
Bajaj Finserv,4.0,9.5k,27.2k,26,Financial Services | Pune +1006 other locations
PwC,3.4,9.4k,91.3k,2k,Management Consulting | Bangalore / Bengaluru +112 other locations
HDFC Life,4.0,9.3k,30.7k,98,Insurance | Mumbai +621 other locations
Conneqt Business Solutions,3.6,9k,27k,334,BPO | Hyderabad / Secunderabad +245 other locations
Mphasis,3.4,8.5k,68.1k,127,IT Services & Consulting | Bangalore / Bengaluru +54 other locations
Bandhan Bank,3.7,7.9k,23k,2,Banking | Kolkata +878 other locations
Yes Bank,3.7,7.9k,42.4k,83,Banking | Mumbai +480 other locations
Startek,3.1,7.7k,23.5k,80,Bangalore / Bengaluru +78 other locations
Paytm,3.3,7.6k,32.8k,121,FinTech | Noida +359 other locations
Tata Steel,4.1,7.5k,30.5k,--,Iron & Steel | Jamshedpur +205 other locations
Asian Paints,4.0,7.5k,23.1k,33,Chemicals | Mumbai +487 other locations
Quess,3.9,7.5k,28.7k,86,BPO | Bangalore / Bengaluru +632 other locations
Maruti Suzuki,4.2,7.4k,25.5k,394,Automobile | Gurgaon / Gurugram +387 other locations
UltraTech Cement,4.2,7.3k,22.8k,29,Building Material | Mumbai +477 other locations
Samsung,3.9,7.3k,26k,8,Consumer Electronics & Appliances | Noida +544 other locations
Shriram Finance,4.1,7.3k,14.1k,18,NBFC | Chennai +1014 other locations
Ericsson,4.1,7.2k,41.9k,149,Telecom | Noida +156 other locations
EXL Service,3.7,7.2k,39.6k,54,Analytics & KPO | Noida +52 other locations
Sutherland Global Services,3.6,7.1k,30.5k,198,IT Services & Consulting | Chennai +65 other locations
Cipla,4.1,7k,24.4k,54,Pharma | Mumbai +257 other locations
Muthoot Fincorp,4.5,7k,8.3k,46,NBFC | Bangalore / Bengaluru +852 other locations
HGS,3.8,7k,22.9k,19,BPO | Bangalore / Bengaluru +111 other locations
Dr. Reddy's,4.0,6.9k,24.3k,--,Pharma | Hyderabad / Secunderabad +190 other locations
Bajaj Finance,4.0,6.9k,21k,6.8k,NBFC | Pune +847 other locations
Wells Fargo,3.8,6.6k,50.3k,223,Financial Services | Bangalore / Bengaluru +23 other locations
Amazon Development Centre India,4.1,6.4k,32.9k,16,Internet | Hyderabad / Secunderabad +118 other locations
ICICI Prudential Life Insurance,4.1,6.3k,21.2k,299,Insurance | Mumbai +479 other locations
JPMorgan Chase & Co.,3.9,6.3k,71.6k,782,Financial Services | Bangalore / Bengaluru +47 other locations
Delhivery,3.8,6.2k,19.2k,99,Logistics | Gurgaon / Gurugram +679 other locations
Hindustan Unilever,4.2,6.2k,21.3k,--,FMCG | Mumbai +485 other locations
Jana Small Finance Bank,3.8,6.2k,14.4k,29,Banking | Bangalore / Bengaluru +376 other locations
Optum Global Solutions,4.0,6.2k,39.6k,96,IT Services & Consulting | Hyderabad / Secunderabad +43 other locations
Lupin,4.1,6.1k,22.4k,129,Pharma | Pune +184 other locations
Hexaware Technologies,3.5,6.1k,48.4k,153,IT Services & Consulting | Chennai +58 other locations
L&T Construction,4.0,6.1k,18.5k,--,Engineering & Construction | Chennai +382 other locations
Zydus Lifesciences,4.1,6.1k,18.9k,29,Pharma | Ahmedabad +161 other locations
Equitas Small Finance Bank,4.5,6k,12.3k,895,Banking | Chennai +424 other locations
JSW Steel,3.9,6k,27.1k,104,Iron & Steel | Ballari +165 other locations
Sun Pharmaceutical Industries,4.0,5.9k,21.7k,191,Pharma | Vadodara +229 other locations
ITC,3.9,5.7k,22.7k,67,FMCG | Bangalore / Bengaluru +342 other locations
KPMG India,3.5,5.6k,53.4k,1.1k,Management Consulting | Bangalore / Bengaluru +98 other locations
